Time Stamp,CPU Utilization,HDD Utilization,RAM Usage,RX Packets,System Idle Window,System Name
"13:33:07",4.3,57.0,1317.0,84020,53.76840000000001,Pegasus
"13:33:12",36.4,57.0,1347.0,91201,118.2848,Pegasus
"13:33:19",16.7,57.0,1347.0,94798,138.23055000000002,Pegasus
"13:33:25",25.6,57.0,1218.0,96551,71.10408000000001,Pegasus
"13:33:31",41.2,57.0,1220.0,98389,277.68888000000004,Pegasus
"13:33:40",41.4,57.0,1220.0,100417,176.36123999999998,Pegasus
"13:33:48",0.0,57.0,1272.0,103322,0.0,Pegasus
"13:33:53",30.6,58.0,1270.0,103340,80.51092,Pegasus
"13:33:59",11.1,58.0,981.0,103351,236.99987999999996,Pegasus
"13:34:05",19.6,58.0,931.0,103379,140.53265999999996,Pegasus
"13:34:10",59.1,58.0,981.0,103412,149.21146,Pegasus
"13:34:17",13.5,58.0,995.0,103420,266.98995,Pegasus
"13:34:23",69.4,58.0,1001.0,103447,188.78574,Pegasus
"13:34:30",54.3,58.0,896.0,103463,92.90736000000001,Pegasus
"13:34:35",52.0,58.0,1049.0,103505,75.61926999999999,Pegasus
"13:34:42",18.5,58.0,1226.0,103521,0.0,Pegasus
"13:34:50",22.2,58.0,1246.0,103538,116.7825,Pegasus
"13:34:57",43.3,58.0,1276.0,103547,152.10264,Pegasus
"13:35:03",41.2,58.0,1313.0,103566,181.47401999999997,Pegasus
"13:35:08",82.1,58.0,1322.0,103616,161.72811,Pegasus
"13:35:14",93.6,58.0,1179.0,103625,459.73512,Pegasus
"13:35:20",77.5,58.0,1182.0,103636,159.0944,Pegasus
"13:35:26",26.3,58.0,1205.0,103642,131.80958,Pegasus
"13:35:31",88.6,58.0,1235.0,103654,432.92923,Pegasus
"14:53:25",75.0,51.0,2611.0,119800,5511.47607,Virender
"14:53:31",88.9,51.0,2610.0,119808,5686.4656,Virender
"14:53:36",89.7,51.0,2620.0,119818,5740.26075,Virender
"14:53:42",92.1,51.0,2612.0,119822,5605.63092,Virender
"14:53:47",67.1,51.0,2613.0,119830,3365.1985499999996,Virender
"14:53:53",80.8,51.0,2612.0,119836,5835.02472,Virender
"14:53:58",36.6,51.0,2618.0,119844,1548.4500400000002,Virender
